제목,답변상태,작성일,담당부서,작성내용,답변내용
감천2동 소규모 주차장 조성공사2,답변완료,2024-09-13 16:58:45,교통환경국 교통행정과,"안녕 하십니까?1.먼저 (답변일자 2024.09.10) 민원접수에 대한 답변 감사드립니다2.사하구 예산 부족으로 본 사유지 포함되지 못한점 충분히 이해는 갑니다그러나 시공 과정에서 발생 할수있는 여러가지 문제점들을 최소화 하여 공사하겠다는메뉴얼적인 답변 보다는 문제가 발생했을시 보상및보수를 해주겠다는 진취적인 답변을 원하는 것입니다공사가 마무리 된 후 공사 관계자가 바람처럼 사라지는면, 거주지 주민은 분통하고억울 할것이 뻔하기 때문에구청 담당 부서 에서는 미리 손을 써주시어 불미스러운 일이 발생하지 않도록 힘을 보태주시길 당부합니다최소한의 확인서 라도 받아주셨으면 합니다(뒤탈없게~~~~)그래야 활동성 있고 일 잘하는 사하구 공무원 이라고 칭찬할것 아닙니까?3.그리고 3번 다, 와 라, 의 답변은 만족합니다(상세설명,지적경계복원측량,상부도로 연결통로)","1. 안녕하십니까? 평소 우리 구정 업무에 관심을 가져주셔서 감사드리며, 귀하께서 신청하신 민원(접수번호 202409131658451721)에 대한 검토 결과를 다음과 같이 알려드립니다.2. 귀하의 민원내용은 “감천2동 소규모 공용주차장 조성공사 관련 민원”에 관한 사항으로 판단됩니다.3. 귀하의 민원에 대한 검토결과는 다음과 같습니다.가. 우선적으로 감천2동 소규모 공영주차장 조성공사”를 시행함에 있어 공사 현장 안전관리 및 공정관리를 철저히하여 인접지의 피해가 최소화 될 수 있도록 계획 및 시공하도록 하겠습니다.나. 또한, 공사 시행과정에서 귀하의 건축물 등에 피해사항이 발생할 경우 관련 법령에 따라 조치될 수 있도록 하겠습니다.4. 귀하의 민원에 만족스러운 답변이 되었기를 바라며 답변 내용에 대한 추가 설명이 필요한 경우, 사하구 교통행정과 김일희(☏051-220-0192로 연락주시면 친절히 안내해 드리도록 하겠습니다. 감사합니다.붙임  민원 내용 1부.  끝."
다대도서관 불편사항,답변완료,2024-09-12 23:53:20,도서관,다대도서관 열람실 에어컨 바람방향이 아랫쪽으로 향하도록 고정돼있어서 냉기가 바닥 쪽으로만 너무 많이 적체됩니다. 앉아 있다보면 다리 쪽이 으슬으슬합니다. 금속재질로 된 의자 다리 부분이 아주 차가울 정도로 냉각될 정도이니 사람 건강에도 좋을리 없어 보입니다.차가운 바람이 순환될 수 있도록 바람방향을 상하로 회전하도록 설정해 주시기 바랍니다.또한 장시간 냉방으로 건강에 불편이 생기지 않도록 바람세기도 너무 강하지 않도록 살펴봐 주시기 바랍니다.,"1. 다대도서관 운영에 많은 관심을 가져주셔서 감사드리며 귀하께서 요청하신 내용에 대하여 다음과 같이 답변드립니다.2. 귀하의 민원내용은 “냉방으로 인한 불편”에 관한 것으로 이해됩니다.3. 귀하의 요청사항에 대해 검토한 의견은 다음과 같습니다.가. 열람실 내 에어컨 바람 방향을 회전으로 변경하여 공기 순환이 되게 조치하였습니다.나. 환절기인 만큼 기온을 고려하여 온도조절에 신경쓰도록 하겠습니다.4. 귀하의 질문에 만족스러운 답변이 되었기를 바라며, 추가로 더 궁금하신 사항이 있으시면 다대도서관 이하영 주무관(051-220-5865)에게 연락해 주시면 친절히 안내해 드리겠습니다. 감사합니다."
신평역 주변 불법차량 주차단속,답변완료,2024-09-12 12:58:21,교통환경국 주차관리과,신평역 앞 도로에 불법주차차량으로 인해 출퇴근시 차가 상당히 많이 막히고 사고 위험도 매우 높습니다.불법주차차량 집중단속을 부탁 드립니다.,"1. 귀하께서 자체접수하여 신청하신 민원에 대한 검토결과를 다음과 같이 알려드립니다.2. 귀하의 민원내용은 “불법주정차 단속요청”에 관한 것으로 판단됩니다.3. 귀하의 질의사항에 대한 검토의견은 다음과 같습니다.가. 우선 귀하께서 해당 지역의 불법주차로 불편을 겪으신 점 송구스럽게 생각합니다.나. 해당 지역에 대하여는 이동식 단속 차량을 이용하여 주차단속을 하고 있으나, 주차단속업무의 특성상 단속 당시에만 효과가 있어 단속에 애로사항이 많은 점 넓은 마음으로 이해하여 주시기 바랍니다.다. 해당 지역에 대해서는 이동식 단속차량을 통한 주차계도 및 단속을 실시하여 불법주차로 인한 귀하의 불편사항이 최소화되도록 하겠습니다.4. 해당 지역의 불법주정차로 인해 생활불편이 발생될 시, 평일 09:00~18:00에는 주차관리과(☎220-4561~5)로, 평일 야간 및 공휴일에는 구청당직실(☎220-4222)로 신고하여 주시면 신속히 불편사항을 처리해 드리겠습니다.5. 귀하의 질문에 만족스러운 답변이 되었기를 바라며, 답변 내용에 대한 추가 설명이 필요한 경우 주차관리과(☎220-4561~5)로 문의하시면 성심껏 답변 드리겠습니다."
감천동 천해로101 ~ 감천 문화마을 입구까지 도로 들개 / 길고양이 포획,답변완료,2024-09-12 22:08:55,경제혁신국 해양수산과,천해로101 산복도로 ~ 감천문화마을 입구까지들개가 너무 자주 보입니다대중교통 이용  산책  걸어서 이동할때마다 보입니다특히 저녁8시~10시잡기 힘든건 알지만 뭔가 대책이 필요할듯합니다길고양이도 울어대고 들개는 불안하고 마음편히 돌아다닐수가 없네요,"1. 귀하께서 신청하신 민원내용은 천해로에서 감천문화마을 인근 돌아다니는 들개 무리와 길고양이 중상화수술에 관한 것으로 판단됩니다.2. 귀하의 민원사항에 대해 검토한 의견은 다음과 같습니다.가. 우리 구에서는 귀하의 민원에 따라 들개포획을 위해 현장을 찾아갔으나 들개무리를 발견하지는 못하였습니다나. 다만, 천해로에서 감천문화마을 인근에 돌아다니는 들개무리 포획을 위하여 포획팀에 포획지시를 내렸고 최대한 빨리 잡을 수 있도록 노력하겠습니다.다. 또한 길고양이 중성화수술 신청을 위해서는 중성화시킬 길고양이의 위치를 명확히 말씀해주셔야 하며, 처리에는 시간이 많이 걸릴 수 있음을 양해해주시기바랍니다.3. 귀하의 질문에 만족스러운 답변이 되었기를 바라며, 답변 내용에 대한 추가 설명이  필요한 경우 사하구청 해양수산과(☏220-0102)로 연락주시면 친절히 안내해드리도록 하겠습니다. 감사합니다.붙임  2024년9월25일-a0-민원상담목록번호235473.  끝."
다대포 해수욕장 cctv,이송이첩,2024-09-10 15:03:12,없음,"0825 일 다대포 해수욕장에서 오전 11:25 ~ 11:50 사이 30분이 채 안되는 시간에 다대포 해수욕장 내 파라솔에서 가방을 도난 당했습니다가방과 가방 속 물품 피해자가 4명이나 되며, 현물로 따지면 400 만원 이상의 물품이 도난 당했고 cctv 상으로 얼굴만 자세히 안 보일 뿐 도난 하는 장면, 시간, 위치 모두 정확하게 나와있습니다 . 하지만 경찰로부터는 동선이 끊겨 어디로 간 지 모르겠다는 식의 대답만 들었습니다무능키도 한데 그 큰 해수욕장 내 cctv가 너무 적다는 생각이 들었습니다만약 해수욕장에서 살인이 일어났다면  그 때도 cctv가 너무 적어 동선이 끊겨 어디로 간 지 모르겠다고 하시진 않을텐데 제 경우에만 답답한가요  여름 파출소라고 열어 놓고 여름 파출소 경찰서에서는 아무 권한도 없다며 도와줄 수 있는 게 없다고 하셨습니다관리센터에서는 cctv를 본인들은 실시간으로만 볼 수 있고 동명대에서 관리한다고 교수님이 승인을 하셔야 녹화본을 볼 수 있다고 하시더군요이게 뭡니까 바로 다음날 경찰 동행해서 간다고 하니 저 교수님께서 협회가 있다고 안된다고 다른 날에 오라고 하시더군요도와주실 부분 없습니까 ?",없음
보건소 간디스토마 시 주의사항 알림 관련,답변완료,2024-09-10 11:29:55,보건소 보건행정과,"9월6일 사하보건소에 간디스토마 검사(대변)를 위해 방문. 검사용 대변통 받음9월8일 오후 대변 검체통에 담음9월9일 사하보건소 오전9시 방문, 접수후 검사하는 부서직원들이 검사가 안된다고함(검사전에 바로 본 대변아니면 안된다함. 일반병원에서 피검사 권유)민원사항1. 간디스토마 검사를 위해 검체통 교부시 주의사항 반드시 안내 및 안내문 비취2. 대변 검체가 검사전 바로 본것이 아니면 안된다는것이 맞는지 의문.? ? 주기적으로 간디스토마 무료 시행보건소에 문의 결과 1일전것도 상관없다함. 보통 다 하루전걸 가져온다함첨언하자면 해당검사를 하기 싫다면 검사항목에서 빼는게 더 나을것 같습니다.","1. 평소 우리 구 보건행정 업무에 관심을 가져주신데 대하여 감사의 말씀 드립니다.2. 귀하의 민원내용은 간디스토마 검사 시 주의사항 안내에 관한 것으로 이해 됩니다.3. 귀하의 민원사항에 대해 검토한 의견은 다음과 같습니다.가. 간디스토마 검사방식에 대한 사전 안내가 부족하여 불편을 겪으신 부분에 대해 진심으로 사과드립니다.나. 추후 상기 민원이 재발하지 않도록 민원실 및 임상병리실에서 보다 더 정확하고 세심하게 안내하도록 주의를 기하겠습니다.4. 귀하의 질문에 만족스러운 답변이 되었기를 바라며, 답변 내용에 대한 추가 설명이 필요한 경우 보건행정과 손정희 주무관(☏051-220-5707)에게 연락주시면 친절히 안내해 드리도록 하겠습니다. 감사합니다."
살다살다 이런 민원처리 처음 봅니다.,답변완료,2024-09-10 15:23:57,자치행정국 민원여권과,2024.9.10 오후에 업무상 여권기록증명서가 필요하여 신청을 하러갔다.민원처리 담당자가 수수료 천원이라해서 나는 국가유공자 유족증을 보여주며 다른 기타 증명서는 무료인데 여권기록증명서는 해당안되냐고민원인 자격으로 질문을 하니 대뜸 옆에 있는 직원이 -해외로 놀러가는건 안됩니다(그것도 큰소리로 여러번에 걸쳐 짜증내듯) - 그 말도 황당하지만 증명서 발급과 해외로 놀러가는건 안된다니 그게 무슨 당나라 말도아니고 더 가관은 담당자는 돈 천원 없냐고 조롱조로 말을 하고 ..국가유공자유족증은 각종 증명서는 무료이지만 여권기록증명서는 수수료있다고 설명해주는게 공무원의 민원처리 자세 아닐까요?여권기록증명서와 해외로 놀러가는건 무슨 연관성이 있나요?오늘도 열심히 일 하시는 사하구청 직원들께 고마운 마음 전하면서 불쾌한 마음도 전합니다.,"1. 안녕하십니까? 먼저 우리 구정의 발전에 관심을 가져주신데 대하여 감사드리며,귀하께서 제출하신 민원에 대해 다음과 같이 안내드립니다.2. 귀하의 민원 내용은“여권 기록 증명서 발급” 과정에서 직원의 업무 안내 태도 개선에     관한 것으로 이해되며, 검토한 의견은 다음과 같습니다.가. 먼저 사하구에서 불편을 겪으신 부분에 대해 사과의 말씀을 드립니다.나. 여권발급(증명서 포함)에 관한 모든 업무는 외교부 소관 업무로서 각 지방자치단체에서       업무을 대행 하고 있으며. 그에 따른 수수료는 여권법 제22조 1항에 의거 외교부       에서 관할 하고 있습니다.다. 미숙한 안내로 불쾌감을 끼쳐드린 점에 대해 다시 한번 사과 말씀 드리며, 담당 직원에대한 친절교육을 실시하여 보다 나은 행정서비스를 제공 하도록 최선을 다하겠습니다.라. 아울러 무인민원발급기에서 여권발급 기록 증명서 등 4종을 무료로 발급이 가능함을안내드리오니 참고 하시기 바랍니다.3. 귀하의 질문에 만족스러운 답변이 되었기를 바라며, 답변 내용에 대한 추가 설명이필요한 경우 민원여권과 임영애 주무관(☏051-220-4811)에게 연락주시면 친절히안내해 드리도록 하겠습니다. 감사합니다.붙임  2024년 9월23일-a0-민원상담목록번호235064 1부.  끝."
전국 지역 및 산학 국가지원 최적 융복합 LMS 법정교육 의무화,답변완료,2024-09-10 17:54:52,자치행정국 민원여권과,"전국 지역 및 산학 국가지원 최적 융복합 LMS 법정교육 의무화와 주민등록증,학생증,계좌,카드,맞춤의 증명증 및 증명서 발급시 그리고 국가 융복합 시너지 작용을 적극 활용한 국가~지역~산학 치안 및 융복합 시너지 협력 법정교육 및 국가 지원 통합 시스템 맞춤최적 고지 지능정보화가 필수입니다.인사혁신처 및 고용노동부 국가 관리책임과 함께하는 고용노동 시험장~면접장에서 탈락시 탈락자 전원 관련 직무 지원 제도 체계망 일괄 고지 및 관련 맞춤 최적 고용노동 체계망 일괄 고지 국가 지능정보화 책임의무 이행이 필수입니다.정부,국회,책임기관,정치권,시사언론뉴스방송사 등등으로 국민제안 공유 중입니다.","1. 안녕하십니까? 귀하께서 우리 구 홈페이지에 방문하셔서 신청하신 민원에 대한 검토결과를 다음과 같이 알려드립니다.2. 귀하께서 신고하신 민원은 전국 지역 및 산학 국가지원 최적 융복합 LMS 법정교육     의무화 등에 관한 사항으로 이해되나, 부산광역시 사하구 자치법규에 의한 우리      기관의 업무 범위에 해당하지 않으며 광범위한 민원 요지로 인하여 소관 기관으로     이송할 수 없는 점 양해바랍니다.3. 기타 궁금하신 사항은 사하구 민원여권과 김경민 주무관(☎051-220-4264)으로 문의     주시면 친절히 답변 드리겠습니다. 감사합니다.붙임: 2024년9월11일-a0-민원상담목록번호235090.  끝."
감천로109번길 전봇대 껍질 다 벗겨져서 위험해요,이송이첩,2024-09-10 11:49:55,없음,"길거리 전봇대에 붙어있는 안전 표지판 껍질이 다 벗겨져서보기에도 안좋고날카로워서 보행자들을 위협하고있습니다..볼때 마다 너무 위험하다고 생각했는데, 아무런 조치가 취해지지 않아 민원넣어봅니다.※ 첨부파일 :KakaoTalk_20240910_114444098_02.jpgKakaoTalk_20240910_114444098_01.jpg",없음
가락타운2단지 옆 황토길에 해충퇴치제 등이 필요합니다,답변완료,2024-09-09 09:48:05,교통환경국 산림녹지과,수고많으십니다가락타운2단지 옆 황토길을 만들어주셔서 정말 감사합니다황토길에서 맨발걷기운동을 애용하고 있습니다.황토길이 나무숲 사이 라서 벌레가 많습니다그래서 좀 더 쾌적한 황토길이 되기를 바라면서 2가지 건의드립니다1. 황토길에 해충퇴치기 설치를 부탁드립니다저녁에는 어둡기 때문에 해충퇴치기를 설치하면 밝은 등 역할도 할 수 있을 것이므로해충퇴치기 설치를 꼭 부탁드립니다2. 가장 위험해 보였던 곳에 펜스를 설치 해서 정말 다행이었습니다그런데 빌라 중간사이에 낭떠러지 위험이 있는 곳이 있습니다그런 곳 까지 세심하게 펜스를 설치해주시면 좀 더 안전한 황토길이 될 거이라고 생각합니다수고하십시요,"1. 우리구 공원 발전행정에 관심을 가져주신데 대하여 깊은 감사를 드립니다.2. 귀하께서 신청하신 민원사항에 대하여 다음과 같이 회신합니다.가. 민원요지○ 가락타운2단지 옆 황톳길 해충퇴치기 및 펜스 설치 요구나. 답변요지○ 해충퇴치기 설치 관련에 대해서는 관련부서(보건행정과)에 전달하여 검토하           도록 하겠습니다.○ 펜스 설치 요청 관련 현장확인 결과 위험 구간이 확인되었습니다. 해당               일부구간에는 방음벽을 설치 할 예정이며, 이 외 구간에는 위험해소를 위한정비를 추진하겠습니다.3. 귀하의 질문에 만족스러운 답변이 되었기를 바라벼, 답변 내용에 대한 추가 설명      이 필요한 경우 사하구 산림녹지과(220-4521)로 연락주시면 성실히 안내해드리겠습니다.붙임 상담민원내용 1부.  끝."
당리 포스코 현장 소음 문제,답변완료,2024-09-09 14:43:21,교통환경국 환경위생과,당리포스코 건설현장 소음이 너무 심합니다구청 및 건설사무소에 문의하였으나 소음저감등 실질적대책으로 이어지지 않고 있습니다구청에서는 소음 기준치를 초과하여 행정조치하겠다 고 하였으나이후에도 현장소음은 전혀 개선이 이루어지지 않고 있습니다실질적인 저감이 있을 수 있도록 행정처리 부탁드립니다주변 많은 주민들이 고통받고있습니다,"1. 안녕하십니까? 귀하께서 신청하신 민원에 대한 검토결과를 다음과 같이 알려드립니다.2. 귀하의 민원 내용은 「부산 당리승학 지역주택조합 공동주택 신축공사에서 발생하는 소음 및 분진으로 인한 생활불편」에 관한 것으로 이해됩니다.3. 귀하의 민원사항에 대해 검토한 결과는 다음과 같습니다.- 귀하의 불편사항을 현장관계자에게 전달하여 작업시간 준수, 고소음 작업 시 장비분산 사용, 작업자 교육 실시,  공사장 살수 철저 등 공사장 소음, 분진 최소화 할 수 있는 방안 마련하여 공사장 관리 철저토록 행정지도 하였습니다.- 추후에도 지속적으로 소음피해 발생 시 생활소음규제기준 준수 여부 확인을 위해 귀 댁에서 측정을 요청할 수 있으며, 해당 지역에 대한 지속적인 순찰을 통해 주민불편 사항이 최소화되도록 노력하겠습니다.4. 귀하의 민원에 만족스러운 답변이 되었기를 바라며, 답변 내용에 대한 추가 설명이 필요한 경우 환경위생과 환경지도계(051-220-4397)으로 연락주시면 친절히 안내해 드리도록 하겠습니다. 감사합니다."
당리 포스코 공사 소음,답변완료,2024-09-09 13:30:10,교통환경국 환경위생과,안녕하세요. 포스코 공사 소음 관련 민원 남깁니다.공사 소음 너무 시끄럽습니다. 기계로 땅 한 번 칠 때 마다 머리가 울립니다.그리고 새벽과 아침에 너무 시끄럽습니다. 오후 6시까지 공사하면서 대체 하루에 몇 시간을 공사하는 거죠? 공사 때문에 잠을 못 자겠습니다.신경관련 질환이 있는데 수면과 소음에 영향을 받습니다. 진짜로 시끄러워서 미칠 것 같아요.. 노이로제 걸리기 일보직전입니다.공사 완공 예정까지 3년 남았던데 도저히 못 버티겠습니다.구청에서 조치를 취해서 사하구에 사는 구민들을 보호해주시길 바랍니다.제발 부탁 드립니다. 동일 고충으로 4번째 민원입니다. 이것도 참고 참다가 남기는 점 알아주시길 바랍니다.감사합니다.,"1. 안녕하십니까? 귀하께서 신청하신 민원에 대한 검토결과를 다음과 같이 알려드립니다.2. 귀하의 민원 내용은 「부산 당리승학 지역주택조합 공동주택 신축공사에서 발생하는 소음 및 분진으로 인한 생활불편」에 관한 것으로 이해됩니다.3. 귀하의 민원사항에 대해 검토한 결과는 다음과 같습니다.- 귀하의 불편사항을 현장관계자에게 전달하여 작업시간 준수, 고소음 작업 시 장비분산 사용, 작업자 교육 실시,  공사장 살수 철저 등 공사장 소음, 분진 최소화 할 수 있는 방안 마련하여 공사장 관리 철저토록 행정지도 하였습니다.- 추후에도 지속적으로 소음피해 발생 시 생활소음규제기준 준수 여부 확인을 위해 귀 댁에서 측정을 요청할 수 있으며, 해당 지역에 대한 지속적인 순찰을 통해 주민불편 사항이 최소화되도록 노력하겠습니다.4. 귀하의 민원에 만족스러운 답변이 되었기를 바라며, 답변 내용에 대한 추가 설명이 필요한 경우 환경위생과 환경지도계(051-220-4397)으로 연락주시면 친절히 안내해 드리도록 하겠습니다. 감사합니다."
하단 유수지 운동시설에 쓰레기 수거통이 필요합니다,답변완료,2024-09-09 16:50:55,자치행정국 체육홍보과,"수고많으십니다오랫만에 하단 문화 복합센터 아래에 있는 하단유수지 운동시설에 갔습니다정말 우리들의 수준이 이 정도밖에 안되나 싶을 정도로음료수 통, 비닐 봉지, 등등 쓰레기가 아무렇게나 버려지 있습니다.참으로 안타깝고 부끄러운 우리들의 자화상 이었습니다.저렇게 잘 만들어진 시설을 우리 스스로 망치고 있었습니다주민들에게 쓰레기를 함부로 투기 하지 못하도록 홍보도 좀 해주시고쓰레기 분리수거통이 필요합니다.특히 집 쓰레기를 가져와서 버리지 못하도록 cctv 까지 설치하면 어떨까 하는 생각도 듭니다.그래서 쓰레기를 함부로 버리지 말고 분리수거를 철저히 할 수 있도록주민 계도가 필요해 보입니다그리고 날씨가 무더워선지 풀도 지저분하게 자라고 있는데풀도 좀 처리해주시면 감사하겠습니다수고하십시요","1. 안녕하십니까? 평소 구정에 많은 관심을 가져주신데 감사드립니다.2. 귀하께서 문의하신 내용은 ‘하단유수지 체육시설 쓰레기통 및 무단투기 방지용 감시 카메라 설치, 주민계도 요청’으로 판단됩니다.3. 현재 사하구 내에 조성된 동네체육시설 52개소는 24시간 개방시설로 주변 주민의 생활쓰레기 배출 및 체육공원 미관 등 관리상 문제로 쓰레기통 설치는 추진하지 않고 있습니다.또한 쓰레기 투기를 막기 위한 감시카메라 설치는 체육시설 근거리에 유수지 관리용 카메라가 이미 설치되어 있는 점, 해당 시설이 아직 방범, 무단투기 등에 따른 문제 발생이 많지 않은 점, 자주 침수되는 유수지 지역특성에 따른 설치 관리 비용 과다하게 소요 문제 등을 고려하였을 때 당장 추진하기에는 적절하지 않다고 판단됩니다.다만, 하단유수지 체육시설에는 현장 관리 인원이 배치되어 있으니 귀하의 요청사항을 전달하여 체육시설 청결 유지를 보다 철저히 하고 체육시설 내 무단 투기 인원 발견 시 즉각 계도 하도록 하겠습니다.하단유수지 동네체육시설은 올해 새롭게 재개관이 되어 주민에게 제공된 시설물인 만큼 앞으로도 주민들의 의견을 적극적으로 수렴하여 쾌적하고 안전한 체육공간으로 유지 관리하도록 하겠습니다.4. 귀하의 요청에 만족스러운 답변이 되었기를 바랍니다. 답변 내용에 대하여 추가 설명이 필요한 경우 체육홍보과 체육지원계(☎220-4124)로 문의하여 주시기 바랍니다. 감사합니다.  끝."
아미산 전망대 보행로 통제 건의 합니다.,이송이첩,2024-09-08 12:44:03,없음,다대동 아미산 전망대 휴관일은 보행로를 왜 통제 하나요. ( 정문 엽길 )그곳은 노을마루길과 바닷가로 가는 길목인데. 당연히 주차장은 통제하는게옳은 방법이지만.물론 케이프 포인드 쪽 주차장 뒷편에 가 계단이 만들어져 있지만.그곳은 외부 사람들이 알수도 없는곳이고 또한 어린 아이들이나 노약자들은 다닐수없을만큼경사진 계단이라 위험 합니다.요즘은 학교 운동장도 공휴일도 개방하는데.관할 구청에서 이런 부분을 알고 계시는지 모르지만. 큰 문제가 없다면.주민들이나 관광객들이 편하게 다닌수 있도록 배려해  주셨으면 합니다지역 발전을 위해 노력하시는 관계자 분들의 노고에 깊은 감사를 드립니다고맙습니다...,없음
넝쿨 및 잡초제거 요청,답변완료,2024-09-07 22:47:45,안전도시국 건설과,"1. 다대2동 대선조선 정문 앞에서 지질공원을 지나 화장실 까지 인도에 잡초가 많아 부득이 하게 자전거 길로 가다가 자전거와 충돌 위험이있었습니다. 깔끔하게 정비 바라며,2. 화장실에서 장대교회 가는쪽 상가 앞 보도 주변도 정비 부탁드립니다.","1. 쾌적한 도로환경 조성을 위한 귀하의 관심에 감사드립니다.2. 귀하께서 말씀하신 다대 대선조선 ~ 다송로 61(장대교회) 보도 일원 제초 작업 요청에 대하여 현장 확인 후 작업 진행 중임을 알려드리며, 현재 제초 요청 민원이 많아 여러 구간을 동시에 작업 중인 관계로 작업 완료까지는 시간이 다소 소요됨을 양해해주시기 바랍니다.3. 기타 문의사항이 있으실 경우, 사하구청 건설과 김종민 주무관(☎051-220-4665)에게 연락해주시면 친절히 안내하도록 하겠습니다.  끝.※ 첨부파일 :위치도 및 현장사진(대선조선 ~ 다송로 61).hwp"
포스코 공사 소음 오전7시부터 시작됩니다. 주말인데 너무 심합니다.,답변완료,2024-09-07 19:10:51,교통환경국 환경위생과,1. 어제는 오전6시경 포크레인이 움직이면서 새벽잠을 깼습니다. 새벽에 층간 소음 때문에 세탁기 청소기 못 돌리는 건 상식입니다. 근데 새벽부터 소음이 커서 잠을 잘 수 밖에 없다 이게 말이 되는지요? 블루밍아파트 101동 앞은 공사장 안내 방송까지 들릴정도로 소음이 크게 전달됩니다.2. 오늘은 7시부터 시끄럽습니다. 도대체 언제부터 공사를 하는건가요 주말엔 직장인들이 자야 하는거 아닌가요? 제가 핸드폰 소음 측정기를 켜 봤습니다.  10분 이상 60데시벨 이상이면 안된다고 들었습니다. 그런데 89.7까지 찍습니다. 평균 63.1이구요  11시 넘어서도 평균 63.1입니다. 최고 98.8 입니다. 사하구청에 전화해도 주말에 담당 직원이 없다고 전해주겠다고만 합니다.사실 주말마다 소음 큰것은 공사장 근처 분들은 다 아실 것입니다. 그런데도 막을 수 없는 것은 신고를 해도 구청에 측정 담당 직원이 없기 때문입니다.  이 부분 해결 부탁드립니다.3. 아파트 문을 열수가 없습니다.  요즘엔 약간 선선할 때가 있어서 문을 열고 싶은 데 소음이 시끄러워 문을 열수가 없습니다. 출근하고 직장에 간 동안 에어컨을 안 켜고 문만 살짝 열고 커텐 치고 가고 싶은데 문을 열 수 없습니다. 왜냐하면 고양이가 있기 때문입니다. 고양이는 소리에 민감하기에 스트레스를 받기 때문입니다.※ 첨부파일 :20240907_오전11시22분경.jpg20240907_7_22분.jpg,"1. 안녕하십니까? 귀하께서 신청하신 민원에 대한 검토결과를 다음과 같이 알려드립니다.2. 귀하의 민원 내용은 「부산 당리승학 지역주택조합 공동주택 신축공사에서 발생하는 소음 및 분진으로 인한 생활불편」에 관한 것으로 이해됩니다.3. 귀하의 민원사항에 대해 검토한 결과는 다음과 같습니다.- 귀하의 불편사항을 현장관계자에게 전달하여 작업시간 준수, 고소음 작업 시 장비분산 사용, 작업자 교육 실시,  공사장 살수 철저 등 공사장 소음, 분진 최소화 할 수 있는 방안 마련하여 공사장 관리 철저토록 행정지도 하였습니다.- 추후에도 지속적으로 소음피해 발생 시 생활소음규제기준 준수 여부 확인을 위해 귀 댁에서 측정을 요청할 수 있으며, 해당 지역에 대한 지속적인 순찰을 통해 주민불편 사항이 최소화되도록 노력하겠습니다.4. 귀하의 민원에 만족스러운 답변이 되었기를 바라며, 답변 내용에 대한 추가 설명이 필요한 경우 환경위생과 환경지도계(051-220-4397)으로 연락주시면 친절히 안내해 드리도록 하겠습니다. 감사합니다."
공영주차장할인,답변완료,2024-09-07 20:15:55,교통환경국 주차관리과,감천 1동 공영주차장에서 친환경 차량 주차후 출차시 자동할인이 안되어 전화하니 계속 통화중이라 뒤차도 기다리고 해서 두어번 미할인으로 출차함. 다른구는 자동 인식되어 할인요금으로 청구되는데 전화도 잘 되지 않는 번호만 안 내하는것은 고쳐야 할듯※ 첨부파일 :20240906_153334.jpg,1. 안녕하십니까? 귀하께서 신청하신 민원에 대한 검토 결과를 다음과 같이 알려드립니다.2. 귀하께서 제출하신 민원의 내용은 “감천1동 공영주차장의 주차요금 자동감면 요청”인 것으로 이해됩니다.3. 귀하의 민원에 대한 검토 결과는 다음과 같습니다. 사하구 내 공영주차장은 「부산광역시 주차장 설치 및 관리 조례」 등에 따라 환경친화적 자동차의 주차요금을 감면하고 있습니다. 그리고 신속한 주차요금 감면을 위해 자동감면시스템 도입을 현재 추진하고 있습니다. 다만 할인대상자의 개인정보 등으로 인하여 보안 등 여러 절차가 관련되어 있어 그 진행이 다소 더딘 측면이 있습니다. 불편을 드린 점 양해 부탁드립니다.4. 답변내용에 대한 추가 설명이 필요한 경우 사하구청 주차관리과(051-220-4511)로 연락주시면 안내해 드리도록 하겠습니다. 감사합니다.  끝.
을숙도대교 교차로 사하경찰서 방향 좌회전 차로로 끼어드는 3차로 얌체족 차량단속,이송이첩,2024-09-06 09:13:56,없음,아침 출근시간에 진짜 화물차들 3차로에서 2차로 좌회전 차로로 덩치로 밀고 들어오는데 사고날 뻔한 적이 한 두번이 아닙니다.오늘도 큰 덩치로 밀어부치고 들어오는데 사고날 뻔하고 참아침에 차도 많이 막히는데 1차로 뒤에서 꾸역꾸역 조금씩 나오면 뭐합니까3차로에서 얌체로 계속 끼어 들고 그러면 또 신호 하나 놓치고 기다리는데...그리고 다대포 방향으로 가는 차들은 왜 좌회전 얌체 차량때문에 차로 하나 먹히고 브레이크 밟게 되고얌체놈들 진짜 사회 암적인 존재들이며 사고 유발자들이니 꼭 단속해야 됩니다.왠만하면 참고 출근하려고 했는데 그 동안 쌓인게 폭발했는지 이젠 도저히 못참겠네요 ㅂㄷㅂㄷ진짜 진짜 단속해야됩니다. 을숙도대교 합류하는 도로 쪽 단속카메라 시점부터 차단봉이나 길게 늘려서 설치를 해주시던지 아니면바쁘시겠지만 교통경찰님들 아침에 단속이라도 좀 부탁드립니다. 그래야 저것들 저런 지 밖에 모르는 얌체 운전 줄어들 겁니다...※ 첨부파일 :을숙도대교 교차로.jpg,없음
