제목,작성일,답변상태,담당부서,민원내용,답변내용
동백역 1번 출구쪽 엘리베이터 근처 보도블럭 파손,2023-05-10,답변완료,도시안전국 도시관리과,"안녕하십니까.

동백역 1번 출구쪽 엘리베이터 근처 보도블럭이 파손되어 있어 조치를 요청합니다.

감사합니다.

※ 첨부파일 :
IMG-2200.JPG
IMG-2199.JPG","1. 평소 구정 발전에 많은 관심을 가져주셔서 감사드리며 귀하께서 온라인 상담민원을 통해 신청하신 민원에 대한 결과를 다음과 같이 알려드립니다.
2. 귀하의 민원은 ‘인도 보도블럭 정비’에 관한 문의로 이해됩니다. 질의사항에 대한 회신 내용은 다음과 같습니다.
가. 우동 동백지하철역 1번출구 앞 인도변 보도블럭 파손 민원 건은 5.11.자 현장확인 후 정비 완료 하였습니다.
나. 향후에도 주변일대의 지속적인 순찰을 통해 쾌적한 도로환경을 확보할 수 있도록 적극 노력하겠습니다.
3. 귀하의 질문에 만족스러운 답변이 되었기를 바라며, 위 내용에 대한 추가 설명이 필요한 경우 해운대구 도시관리과 남상민 주무관(☎749-4285)에게 연락주시면 성심껏 안내해 드리겠습니다. 감사합니다.

붙임 1. 2023년5월11일-a0-민원상담목록번호276738.
2. IMG-2200.
3. IMG-2199. 끝."
배수구 블록 파손이 있습니다,2023-05-09,답변완료,도시안전국 건축과,"센텀사이언스파크 이마트24 앞 사거리쪽 배수구 블록이 파손되어 위험해보입니다. 재설치가 필요해보여요

※ 첨부파일 :
20230508_143629.jpg","1. 평소 구정 발전에 협조해 주시는 귀하께 감사드립니다.
2. 귀하의 민원내용은 우리 구 우동 1463-1번지 센텀사이언스파크 부지 내 배수시설 파손과 관련한 정비 요청에 대한 민원사항으로 이해되며 다음과 같이 알려드립니다.
○ 해당 건축물 부지 내 배수시설(배수 판석) 훼손된 사항에 대해 센텀사이언스파크 관리주체 측에 전달하여 해당 현장 확인 후 조속히 정비 조치 될 수 있도록 행정지도하였음을 알려드립니다.
3. 귀하의 민원사항에 만족스러운 답변이 되었기를 바라며, 답변 내용에 대한 추가 설명이 필요한 경우 해운대구 건축과 김천석 주무관(☎051-749-4592)에게 연락주시면 친절히 안내해 드리도록 하겠습니다. 감사합니다. 끝."
반려동물의료비지원,2023-05-08,답변완료,문화관광경제국 일자리경제과,"서울, 대전 등의 지역에서는 반려동물의료비지원제도를 운영중이라고하던데
부산은 지원 예정 전혀 없나요?
구남로 꾸미는 예산으로 반려동물의료비 지원제도 고려 부탁드립니다.","1. 먼저 구정에 깊은 관심 감사드리며, 귀하의 무궁한 발전을 기원드립니다.

2. 귀하께서 제기하신 민원은 반려동물의료비 지원 제도 시행을 요청하신 것으로
판단되며 아래와 같이 답변 드리겠습니다.

3. 현재 우리 구는 반려동물 복지향상을 위해 다양한 정책들을 시행하고 있습니다.
특히 타지자체는 거의 운영하지 않는 유기동물입양센터를 운영하여, 유기동물에
대한 관심과 입양에 대해 지원함으로써 반려동물 문화 확산을 위해 노력중이고,
또한 사회적약자(중증장애인, 기초생활수급자등)들의 반려동물 진료비 지원 사업을
통해 사회적 취약계층의 반려동물문화에도 깊은 관심을 갖고 있습니다.

4. 귀하께서 제안하신 반려동물의료비 지원제도 는 수반 예산, 부산시 및 타 지자체
상황 등 제반사항등을 고려하여 적극 검토하도록 노력하겠습니다.

5. 기타 궁금하신 사항이나 문의하실 내용이 있으시면 해운대구청 일자리경제과
담당자 김의현(051-749-5682)으로 연락주시면 상세히 답변 드리도록 하겠습니다.
감사합니다.


붙임 1. 2023년5월17일-a0-민원상담목록번호276499. 끝."
해운대 모자반 치워주세요,2023-05-06,이송이첩,"※ 연계처리내역 : 민원상세보기(원본)
 * 추천기관 : 해양수산부
 * 이송(추천)사유 : 귀 기관 업무에 해당되어 이송합니다.(모자반 해상 수거 건의)

[담당자:손재호, 연락처:051-749-4268]
 * 처리상태 : 이송이첩

※ 아래 답변이 안보일 경우 위의 민원상세보기(원본)을 클릭하여 확인해 주시기 바랍니다.
  - 연계된 기관에서 처리한 내용으로 궁금하신 사항은 해당 기관으로 문의해야 합니다.","고생많으십니다
비가오고 큰파도가 지나고나면
어김없이 해운대 백사장에 모자반이 쌓입니다
다음날 아침이면 청소하신다고 고생이
정말 많으시더라구요

모자반 군락이 미포앞에도 있고 방파제 근처
올해는 동백섬 옆에까지 떠 다닙니다
매번 비오고 나서 고생하시는 것보다
물위에 있을때 건져내는게
효율적인것 같습니다

한번으로 일이 끝날것 같지 않은데
매년 여름전에 군락이 더 커지기 전에
바다에서 처리하시는
활동이 있었으면 합니다

보기 좋지도 않고
치우는데도 오래 걸립니다
여러분들 고생하시는데
바다에 있을때 걷어 내시는게 어떨지요

배를타고 한번 돌아보시면 좋을것 같습니다

많이 바쁘시겠지만
검토한번 해봄직합니다
수고하십시오.",없음
윗반송 사고현장 수습요청,2023-05-04,답변완료,도시안전국 도시관리과,"5월 1일 윗반송 광하아파트 앞 삼거리에서 일어난 교통사고 현장 정리를 요청합니다.

사고현장은 인근 초등학교 아이들의 등하교길로 이용되고 있고 평소에도 통행량이 많은 지역입니다. 그럼에도 사고현장의 혈흔이 아직 도로에서 인도까지 선명하게 남아 있는 채로 방치되어 있는 실정입니다.

통학하는 어린이들이 받을 정서적 충격을 고려하고 무엇보다도 고인의 흔적을 깨끗하게 정리해 드리는 것이 망자에 대한 예의라 사료되오니 해당구역의 빠른 정리를 요청드립니다.","1. 평소 구정 발전에 많은 관심을 가져주셔서 감사드리며 귀하께서 온라인 상담민원을 통해 신청하신 민원에 대한 결과를 다음과 같이 알려드립니다.
2. 귀하의 민원은 ‘교통사고 잔해물 등 정비’에 관한 문의로 이해됩니다. 질의사항에 대한 회신 내용은 다음과 같습니다.
가. 반송동 광하아파트 앞 삼거리 교통사고 잔해물 등 제거 민원 건은 5.8.자 현장확인 후 정비 완료 하였습니다.
나. 향후에도 주변일대의 지속적인 순찰을 통해 쾌적한 도로환경을 확보할 수 있도록 적극 노력하겠습니다.
3. 귀하의 질문에 만족스러운 답변이 되었기를 바라며, 위 내용에 대한 추가 설명이 필요한 경우 해운대구 도시관리과 남상민 주무관(☎749-4285)에게 연락주시면 성심껏 안내해 드리겠습니다. 감사합니다.

붙임 2023년5월8일-a0-민원상담목록번호276014. 끝."
불법주정차 단속 및 감시용 카메라 설치에 관해 문의드립니다.,2023-05-03,답변완료,교통환경국 주차행정과,"안녕하십니까 수고많으십니다.
다름이 아니고 좌동 그린시티 대동타운 앞 공동체육관 2차선도로에 불법주정차 차량들로 인해 통행이 너무 불편해서 민원을 신청합니다.

대동타운에서 나와서 좌회전후 사거리에서 우회전을 해야하는데 말씀드린곳의 불법주정차 차량들로 인해 위험했던 적이 한두번이 아닙니다.
분명 주변에 공영주차장이 있음에도 불구하고 커피등을 사는 목적으로 주차하는 사람들이 너무 많습니다.

출퇴근 시간만이라도 통제가 안될까해서 이렇게 민원신청합니다.

꼭 조치를 취해 주시기 바랍니다.
아니면 감시용카메라 설치계획이 있는지에 대해서도 답변 부탁드리겠습니다.

※ 첨부파일 :
002-2.JPG
001-1.jpg","1. 해운대구 주차행정에 많은 관심을 가져주셔서 감사드립니다.
2. 귀하께서 건의하신 좌동 1285(대동타운아파트 출입구와 해운대교육지원청 공동체육관 사이) 도로 상 불법주정차 단속 CCTV 설치 요청에 대하여 아래와 같이 답변 드립니다.

○ 회신내용
가. 귀하께서 요청하신 상기 구간 내 고정식 CCTV 설치 관련하여, 해당 내용을
접수대장에 등재하였으며, 현재까지 CCTV 설치 요청 대상지가 많아 도로
여건 및 주변환경, 예산 등을 검토하여 순차적으로 설치지역을 선정 중이오니
다소 불편하시더라도 양해 부탁드립니다.

나. 또한 귀하의 불편사항을 현장단속반에 전달하여 해당 구간에 대한 순찰을 강화
하고, 불법주정차량 단속 및 현장관리에 더욱 힘쓰도록 하겠습니다.
※해운대구 불법주정차 단속 안내:
https:www.haeundae.go.krindex.do?menuCd=DOM_000000102005006000

다. 추가로 5대 불법주정차 구간인 어린이보호구역(초등학교 정후문 앞 도로), 횡단
보도(인도포함), 교차로모퉁이, 소방시설 및 버스정류장 주변의 주정차량에 대해
서는, 안전신문고 앱을 통한 주민신고 시 해당 차량에 대하여 과태료 부과가 가
능한 점 참고 부탁드리며, 추가 궁금하신 사항은 해운대구청 주차행정과
(☎749-4565)로 문의주시면 자세히 안내드리겠습니다. 끝.

붙임 1. 2023년5월12일-a0-민원상담목록번호275885.
2. 002-2.
3. 001-1."
아파트 엘리베이터 교체건,2023-05-03,답변완료,도시안전국 공동주택관리과,"아파트의 전체가 아닌, 문제가 많은 해당 라인의 엘리베이터만 교체하기위해서는

해당라인의 입주민의 동의를 23또는 그 이상을 받으면 되는지요?

답변부탁드립니다.","1. 평소 우리 구 발전에 협조하여 주셔서 감사합니다.

2. 귀하께서 접수하신 승강기 교체 행위허가 동의 기준 관련 질의 민원에 대하여 다음과 같이 답변드립니다.
？ 공동주택의 공용부분에 위치한 승강기의 경우, 교체 행위는 「공동주택관리법 시행령」 제35조제1항 [별표 3] 철거 및 증설의 기준에 따라 해당 동 입주자등 3분의 2 이상의 동의가 필요한 행위허가 사항임을 알려드립니다.

3. 기타 공동주택 행위허가(신고)와 관련하여 문의사항 있으실 경우, 우리 구 공동주택관리과(☎051-749-6181)로 연락주시면 상세히 안내하여 드리겠습니다."
해운대 수목원 부지 캠핑장 조성가능하지않나요??,2023-05-03,이송이첩,"※ 연계처리내역 : 민원상세보기(원본)
 * 추천기관 : 부산시설공단
 * 이송(추천)사유 : 귀 기관 업무에 해당되어 이송합니다.(해운대수목원 내 캠핑장 조성 관련)

[담당자:손재호, 연락처:051-749-4268]
 * 처리상태 : 이송이첩

※ 아래 답변이 안보일 경우 위의 민원상세보기(원본)을 클릭하여 확인해 주시기 바랍니다.
  - 연계된 기관에서 처리한 내용으로 궁금하신 사항은 해당 기관으로 문의해야 합니다.","해운대 수목원에 아직 개발중인 부지가 많은 것 같던데...
영도구에 있는 캠핑장처럼 해운대구에도 해당 부지나 인근으로 캠핑장 조성 가능하지 않나요??예전에 말도 있었던 것 같은데...
해운대구민으로서 대규모 캠핑장 하나 지어주시면 구민들이 이용하기도 좋아서 굳이 다른 구에 있는 캠핑장에 가지 않아도 될 것 같은데...
적극 고려바랍니다..",없음
길고양이 안전 급식소,2023-05-03,답변완료,문화관광경제국 일자리경제과,"안녕하세요 캣맘까지는 아니여도 길고양이가 보이면 간식을 주는 사람입니다
1년반 정도 전에 길고양이 안전 급식소를 설치해주시겠다 하셨는데 아직도 실천되지 못하고 있네요

구청에서 운영하는 급식소가 있으면 제일이겠지만 안전급식소 설치가 어렵다면 구청에서
[길고양이 밥 주는 것은 법적으로 제제할 수 없으나
길고양이에게 위해를 가하는 것은 법적인 처벌 가능하다는 내용]
의 공문을 업로드하여 캣맘들이 직접 본인들의 급식소에 붙일 수 있게
허가해주실수는 없는 부분일까요?
이 마저도 어렵다면 캣맘들이 직접 위의 내용을 작성하여 붙일 수 있게라도 허가해주실수는 없을런지요?

요즘 또 길고양이들 밥에 쥐약을 타는 분들이 많네요
길고양이들이 배고픔에 굶주리다 맛있는 밥을 먹을 수 있다는 것에 즐거워하며 와서 밥을 먹었을텐데
쥐약을 먹고 고통스럽게 죽은 고양이들을 생각하니 마음이 참 아픕니다
당장 오늘 내일 많은 생명들이 쥐약을 먹고 죽습니다
그리고 그 사체를 먹은 야생동물들도 죽겠죠

부디 길고양이들이 밥만이라도 보호받고 먹을 수 있도록 도와주셨으면 좋겠습니다
이번에는 미루고 검토해보겠다는 말만 하지마시고 꼭 실천해주세요
검토뿐인 보호는 보호가 아니니까요..","1. 귀 가정의 평안을 기원합니다.
2. 귀하의 민원 내용은 ‘길고양이를 위한 안전한 급식소’ 요청으로 이해됩니다.
3. 길고양이 먹이 주는 행위는 제재할 법적 근거가 없으나, 쥐약 살포 등으로 동물이 상해를 입을 경우 동물보호법 제10조 제2항 제1호에 해당하여 벌칙(2년 이하의 징역 또는 2천만원 이하의 벌금)을 받을 수 있습니다.
쥐약 살포나 동물학대 사건이 발생한 경우, 112 혹은 우리 구로 신고하여 주시기 바랍니다.
4. 작년에 우리 구에서 관리부서 및 기관의 협의를 얻고 관리자를 지정하여 ‘해운대구 길고양이 공공급식소’를 10개소 설치하였습니다. 앞서 말씀드린 것처럼 길고양이 먹이 주는 행위는 제재할 법적 근거가 없으나 개인이 설치한 급식소의 경우 설치 장소에 따라 불법 적치물 등으로 분류되어 철거될 수 있으며 공공급식소라도 민원이
많을시 이동 또는 철거됩니다. 따라서 구에서 관리부서 협의 후 설치한 공공급식
소가 아닌 개인이 설치한 길고양이 급식소에 대하여 우리 구에서 어떤 공문이나
문구를 작성해 드릴 수는 없음을 알려드립니다.
5. 다만, 쥐약 살포나 동물학대 등의 사건이 발생한 장소에는 학대방지 현수막을 게시 하고 있습니다. 현수막 게시를 원하시는 장소를 알려주시면 게시 여부를 검토하여 게시해 드리도록 하겠습니다.
6. 귀하의 질문에 만족스러운 답변이 되었기를 바라며, 답변 내용에 대한 추가 설명이 필요한 경우 해운대구 일자리경제과(☎749-5684)로 연락주시기 바랍니다. 감사합니다.


붙임 2023년5월4일-a0-민원상담목록번호275842. 끝."
장산역 인근 신호등 설치를 고려해주세요,2023-05-03,이송이첩,"※ 연계처리내역 : 민원상세보기(원본)
 * 추천기관 : 경찰청
 * 이송(추천)사유 : 귀 기관 업무에 해당되어 이송합니다.(신호등 신규설치)

[담당자:손재호, 연락처:051-749-4268]
 * 처리상태 : 이송이첩

※ 아래 답변이 안보일 경우 위의 민원상세보기(원본)을 클릭하여 확인해 주시기 바랍니다.
  - 연계된 기관에서 처리한 내용으로 궁금하신 사항은 해당 기관으로 문의해야 합니다.","안녕하세요.
해운대 장산역 엔씨 뒷편에 있는 올리브영에서 화목 쪽으로 걸어가는 방향에 신호등없는 횡단보도가 있습니다. 그곳에서 또 좌측으로 스위첸 방면으로 가는 신호등 없는 횡단보도가 있습니다.
이곳에서는 불법 주정차된 트럭들도 굉장히 많고 불법 주차 차량도 굉장히 많습니다. 시야확보도 문제지만 차들이 굉장히 속도를 내며 직진좌회전을 사방에서 합니다. 이곳에서 차와 충돌이 날뻔한 적이 수도 없이 많습니다.
차들은 보행자가 보여도 절대 안 멈추고 달려옵니다. 신호등 설치를 고려해주세요.
사람이 조심해야할까요? 얼마나 더 조심해야 할까요?

설명을 자세히 하기 위해 사진을 첨부했습니다. 그려둔 화살표 방향으로 오는 차 때문에 두 횡단보도는 정말 위헙합니다. 사고 납니다..

감사합니다

※ 첨부파일 :
screencapture-map-naver-v5-2023-05-03-14_37_24.pdf",없음
해운대 해수욕장 주변 건축물 높이 관리 관련 건의 및 질의,2023-05-02,답변완료,도시안전국 건축과,"1. 귀 구의 무궁한 발전을 기원합니다.

2. 부산시는 “부산시 가로구역별 건축물 높이 관리 용역”을 2023. 01.10 ㈜ 나우컨설턴트
(대표 지명하)와 계약을 체결하고 관련 계획의 변경 수립을 위한 준비하고 있는 것으로
알고 있습니다.

3. 용역 과업지시서에는 2030년을 목표 년도로 2015년 2월 정비되어 운영중인「부산시
가로구역별 건축물 최고높이」는 법 제도 변화 및 지역경제 여건 등에 맞추어 단계적
보완이 요구되어 5년마다 타당성 여부를 전반적으로 재검토하여 정비한다고 제시되어
있습니다.

4. 관련 계획을 정비함에 있어 부산시 뿐만 아니라 범 국가적으로 모든 역량을 총 동원하고
있는 “2030 부산 국제박람회” 등 각종 국제적 행사를 유치하고 성공적으로 수행하는데
필수적인 관광, 문화, 숙박 대책 등 국제적 경쟁력 있는 인프라시설을 확보하고 정비할
수 있는 미래 지향적 계획 등이 포함되길 희망합니다.

5. 해운대는 국내외 관광객이 가장 많이 방문하는 부산 영남권 최고 최대의 관광지로서
다양하고 많은 관광인프라를 보유하고 있지만 미래에도 지속적으로 발전하고 그 위상과
명성을 위해서는 낡고 노후화 된 숙박, 편의시설 등 관광인프라가 새롭게 개선 보완 및
보강 되어야 세계적인 고품격 문화관광도시로 더욱 발전할 수 있다고 생각됩니다.

6. 관련하여 아래 사항을 건의 겸 질의 합니다.
① 정비 용역 범위에 “해운대 해수욕장 주변 지구단위계획구역”을 포함하는지?
② 해운대 해수욕장 주변 상업지역에 대한 건축물 높이 규제가 일부는 30~40년째 유지
제한되고 있어 노후 건축물의 정비와 재건축 등을 제약하고 있는데 노후 건축물 정비
촉진을 위한 어떤 계획과 대책을 갖고 있는지?
③ 작년 10월 국제적 명성을 얻고 있는 BTS 부산공연 때도 숙박시설 대책이 큰 이슈가
되었고, “2030 부산 국제박람회” 등 국제적 행사의 성공을 위해서도 양질의 숙박시설
확보가 필수적이므로 민간의 투자 촉진과 유도가 반드시 필요한데 관광숙박시설 투자
촉진을 위한 해운대구청 차원의 대책과 계획은 어떻게 되는지?

바쁘시겠지만 답변 부탁드립니다.","1. 평소 구정 발전에 협조해 주시는 귀하께 감사드립니다.
2. 귀하의 민원내용은 “해운대해수욕장주변 지구단위계획”의 높이 관리 관련 건의 및 질의사항으로 이해되며, 이에 대한 검토의견은 다음과 같습니다.
가. ‘부산시 가로구역별 건축물 높이 관리계획 정비용역’은 기지정구역에 대해 모니터링 및 현황 분석을 실시하여 현행 건축물 높이 관리계획에 대한 정비를 통해 현행 운영 지침에 대한 타당성 검토 및 개선(안) 도출을 목적으로 하고 있습니다. 이에 지구단위계획상 높이 관리 기준이 설정된 “해운대해수욕장주변 지구단위계획” 구역의 경우 정비용역 대상에 포함되지 않음을 알려드립니다.
나. 해운대해수욕장주변 지구단위계획의 경우 해수욕장에 면한 구역의 특수성 및 관광 활성화 목적에 부합하고자 숙박·관람집회 및 관광휴게시설 등으로 개발용도를 제한하고 있으며, 공공재 성격을 갖는 해수욕장 경관을 보호하고 고층·고밀도 개발을 통한 해안 경관 사유화 방지 및 해안 조망 확보를 위해 건축물 높이에 대해 60m 제한을 두고 있습니다. 이 제한은 해운대해수욕장 지구단위계획 시행지침에 따라 건축법 및 관계법령이 정하는 범위 내에서 건축위원회 심의를 통해 높이제한을 완화 적용할 수 있음을 알려드리며, 지구단위계획 세부 내용에 부합하는 건축계획의 경우 신축, 증축 및 리모델링 등 정비와 재건축이 가능함을 알려드리니 참고하시기 바랍니다.
3. 귀하의 질문에 만족스러운 답변이 되었기를 바라며, 답변 내용에 대한 추가 설명이 필요한 경우 해운대구 건축과(☎051-749-4594)로 연락주시면 친절히 안내해 드리도록 하겠습니다. 감사합니다. 끝.


-------------------------------------------------------------------------------------------------------------
[협조부서] : 문화관광경제국 문화관광과 [답변일자] : 2023-05-04 11:36:26
[작성자] : 이승미 [전화번호] : 051-749-4085 [이메일] : kji1288@korea.kr
[답변내용] :
1. 평소 해운대구 관광발전에 관심을 가져주셔서 감사드립니다.
2. 귀하께서 문의하셨던 관광숙박시설 투자 촉진을 위한 해운대구청 차원의 대책과 계획에 대해 아래와 같이 답변드립니다.
3. 현재 우리 구에는 5성 호텔을 포함하여 관광숙박업 71개소 및 외국인 대상 민박업 37개소가 운영되고 있어, 국내외 관광객들이 해운대구 방문 시 깨끗하고 편리한 객실을 이용할 수 있도록 지도감독 하고 있으며,
4. 해운대구 호텔협의회를 구성 ‧ 운영하여 각급 호텔의 관광 관련 의견을 수렴하여 구정에 반영하고 있어, 이를 통해 편리한 관광지 만들기 및 숙박업 운영하기 좋은 해운대구를 만들고 있습니다.
5. 앞으로도 해운대 관광사업 진흥과 발전을 위해 해운대 모래축제, 해운대 빛축제 등 다양한 축제 개최 및 어르신, 영유아, 장애인 등 누구나 편안하게 관광할 수 있도록 관광 인프라 구축으로 관광객을 유치함으로써, 자연스럽게 관광숙박업이 활성화되도록 노력하겠습니다.
6. 귀하의 질문에 만족스러운 답변이 되었기를 바라며, 기타 문의사항이 있으시면 해운대구 문화관광과 이승미 주무관(☎051-749-4085)로 연락주시면 안내해 드리도록 하겠습니다. 감사합니다.


붙임 2023년5월4일-a0-민원상담목록번호275717. 끝."
장산 구립공원 산책로 바닥 보수,2023-05-02,답변완료,교통환경국 늘푸른과,"장산 구립공원 주 이용 구민이 그린시티 입주 시작부터 살기 시작하여 연세가 높으신 어르신들이신데 산책로 바닥이 시멘트로 포장이 되어 있어
관절이 안 좋으신 어르신들이 많이 불편하시다고 들었습니다.
젊은 분들은 모르시겠지만 시멘트 길은 몇 걸음만 걸어도 바로 무릎에 무리가 생깁니다.
산책로에 가장 자리만이라도 흙이나 야자메트(정확히 모름)를 깔아 주시면 좋겠습니다.","1. 구정 사무에 관심을 가져주신데 대해 감사드립니다.

2. 귀하께서 말씀하신 내용은 대천공원 안쪽 장산구립공원 조형문자부터 폭포사 입구 까지 이어지는 주 산책로에 대한 것으로 판단됩니다. 해당 구간은 등산객 외에 사찰 방문 차량, 유모차 및 자전거 사용자 등이 다양하게 이용하는 곳으로 포장이 되어 있으나, 계곡 쪽 둘레길과 폭포사 위쪽으로는 자연지형을 최대한 살린 흙길과 야자 매트로 구성되어 있습니다.

3. 기존의 포장구간을 다른 재질로 변경하는 것은 여러 이용자의 편의사항을 고려하여야 하므로 신중히 검토하겠습니다. 귀하의 의견에 감사드립니다.

붙임 : 2023년5월4일-a0-민원상담목록번호275711. 끝."
송정해수욕장 공영주차장,2023-05-01,답변완료,교통환경국 주차행정과,"송정서핑학교 1호점 맞은편 푸드트럭 옆에 어제 일욜 오후 4시경 주차를 했습니다.
세븐일레븐 방향으로 10미터도 못가서 공영주차장 요금안내 표지판도 있었습니다.
주차요금을 정산 할려고 관리인 아주머니를 불러서 정산하는데 안내된 요금과 차이가 있어서 여쭤보니 여긴 공영주차장이
아니라고 하시네요.
공영주차장 표지판과 10미터정도 차이가 안나는데 누가 공영주차장이 아니라고 생각하겠습니까?
민영이라는 안내 표지판과 표시가 필요 할거 같습니다.","1. 안녕하십니까? 귀하께서 전자민원을 통해 신청하신 송정 호안도로 노상공영주차장 관련하여 다음과 같이 알려드립니다.

2. 송정해수욕장 해변로에 위치한 노상주차장은 공영주차장이 맞으며, 해당 주차장은 민간이 사용수익허가 받아 운영하는 곳으로 민원사항은 수탁관리자에게 전달 및 시정요구 하였으며, 앞으로 이런 상황의 재발 방지를 위하여 정확한 주차관리 및 친절한 민원 응대토록 교육 및 관리감독 하도록 하겠습니다.

3. 더 자세한 문의사항이 있으시면 해운대구청 주차행정과(☎749-4882) 김수옥 주무관으로 문의주시면 성심성의껏 답변 드리겠습니다. 감사합니다.

붙임 1. 2023년5월9일-a0-민원상담목록번호275605."
반여2동 [폐공가] 석면슬레트가 옆집으로 쏱아지려는데...해운대구청은?,2023-05-01,답변완료,도시안전국 건축과,"동일고충민원
동일고충민원여부
동일고충민원여부 : 선행민원번호 : 202304190257132377 선행민원상세조회","1. 평소 구정발전에 협조하여 주심에 감사드립니다.

2. 귀하의 민원내용은 ‘폐·공가(재반로196번길 29-88) 정비 요청’에 관한 것으로 이해됩니다.

？ 우리 구 폐·공가(재반로196번길 29-88) 민원사항은 「빈집 및 소규모주택 정비에 관한 특례법」제6조2항, 제11조제1항, 제65조에 따른 절차에 부합하지 않으며,

？ 소유자의 연고자(자녀)에게 주민안전 또는 주거환경을 위하여 민원사항 알림, 건축물 정비를 위한 폐가철거사업 안내를 하였음을 알려드립니다.

3. 민원에 만족스러운 답변이 되었기를 바라며, 기타 궁금하신 사항은 우리 구 건축과 (☎749-4614)로 문의하여 주시면 성실히 안내하여 드리겠습니다. 끝."
좌동 와우산 여가녹지 방제요청드립니다,2023-05-01,답변완료,교통환경국 늘푸른과,"동일고충민원
동일고충민원여부
동일고충민원여부 : 선행민원번호 : 202205120525074692 선행민원상세조회","○ 평소 산림행정 업무에 관심을 가져주심에 감사드리며, 귀하께서 홈페이지에 신청하신 민원(신청번호 275549) “와우산 여가녹지 방제요청” 건에 대해 다음과 같이 회신드립니다.

○ 귀하의 민원내용은 “산을 제대로 이용할 수 없을 정도로 산에 진입하는 계단 및 체육시설 등 벌레가 심하게 많이 발생하니 방역을 요청 드린다.”에 관한 것으로 이해됩니다.

○ 현장확인 결과, 주민들의 왕래가 잦은 진입로 계단과 체육시설에 특정한 나무(사방오리나무로 추정)에서 떨어지는 벌레로 인해 불편함을 초래한다고 판단이 되어 그 구역 일원으로 방제작업을 완료해드렸음을 알려드립니다.

○ 귀하의 질문에 만족스러운 답변이 되었기를 바라며, 답변 내용에 대한 추가 설명이 필요한 경우 늘푸른과 최소영주무관(☎ 051-749-4486)에게 연락주시면 친절히 안내해 드리겠습니다. 감사합니다. 끝.

붙임 2023년5월9일-a0-민원상담목록번호275549. 끝."
해리단길 우동1로 38번길 도로 보행자우선도로 지정 요청,2023-04-30,답변완료,교통환경국 교통행정과,"해리단길 우동 38번길도 시커먼 아스팔트로 방치하지말고
20번길처럼 똑같이 무늬와 노란색으로 처리해 줄것을 강력히 요청합니다.
남북이 갈라진 것 처럼 왜 차별을 두시나요? 지난번 민원을 올렸더니, 담당자분이
비용때문에 돌담길은 못하더라도 20번길처럼 무늬와 색감은 입히겠다고 하셨는데,
우동1로 38번길은 똑같은 해리단길인데, 시커먼 아스팔트도로로 방치하십니까?
100메터정도 밖에 안되는데, 이왕 하는거 이쪽도 처리 해주시길
주민과 소상공인을 대표하여 간곡히 부탁드립니다.

결론은 우일맨션및 새마을금고 앞 38번길은 왜? 보행자 우선도로지정이 안되나요?
해리단길 유동인구이동이 상당한데, 이것때문에 도로 포장이 안되는건가요?","1. 평소 구정 발전을 위하여 가져주신 관심과 협조에 감사를 드립니다.

2. 귀하께서 제안하신 우동1로38번길 도로 보행자우선도로 지정요청에 대하여 답변드리겠습니다.

3. 보행자우선도로란 보행안전 및 편의증진에 관한 법률 제2조(정의)에 따라 차도와 보도가 분리되지 아니한 도로로서 보행자의 안전과 편의를 보장하기 위하여 보행자 통행이 차마 통행에 우선하도록 지정한 도로를 말합니다.

4. 제안하신 우동1로38번길은 보도와 차도가 분리되어 있는 도로로 보행자우선도로로 지정하기에 적합하지 않음을 알려드립니다.

5. 기타 문의사항에 대해서는 해운대구청 교통행정과(☎749-4554)로 문의하여 주시면 상세히 답변 드리겠습니다. 감사합니다. 끝."
