제목,작성일,답변상태,담당부서,민원내용,답변내용
민원신청 후 6개월이 지났으나 해결되지 않아 전자민원 신청함,2023-07-25,답변완료,보건소 보건행정과,"1. 2023년 2월에 본** 병원(폐업) 보험 처리 위한 서류발급을 위하여 보건소 담당자에게 연락하였음.
2. 보건소 담당자가 직접 연락해보라고 병원 담당자 연락처를 알려줌.
3. 병원 담당자에게 수십차례 전화하였으나 연락안됨.
4. 보건소 담당자에게 다시 연락하였으나 본인도 연락이 안된다고 함.
5. 보건소 담당자가 병원 쪽과 연락 후 다시 연락준다고 하였으나 현재까지 아무 연락이 없음.
6. 수 개월 후 다시 보건소 담당자에게 연락해보니 2번과 같이 직접 연락해보라고 반복하여 얘기함.
7. 병원 관리 담당이 보건소인데 보건소에서 방법이 없다고 하면 민원인들은 어떻게 해결해야 하나요?","1. 귀하께서 접수하신 민원(접수번호 202307251529375196) 대한 검토 결과를 다음과 같이 알려드립니다.
2. 귀하의 민원내용은 ‘진료기록 발급 지연 관련 민원’에 관한 것으로 판단되며 이에 대하여 검토한 의견은 다음과 같습니다.
□ 해당 의료기관은 의료법 시행규칙 제30조제4항에 의거 폐업에 따른 진료기록 자체보관 허가된 사실이 있으며 기록 열람 및 보존에 관하여는 의료법 제21조 및 제22조제2항을 준용하고 있습니다.
□ 이에, 진료기록 발급 거부 여부에 대한 조사 결과, 의료법 위반 소지가 있다고 판단하기는 어려우나 여러 사정에 의해 즉시 발급이 어려운 상황임을 확인하였습니다.
□ 그러나 사본 발급을 요청하는 분들에게 원활한 안내가 될 수 있도록 연락망을 유지하고 빠른 시일 내에 발급이 가능하게 조치하도록 보관책임자에게 행정지도 하였음을 알려드립니다.
3. 귀하의 질문에 만족스러운 답변이 되었기를 바라며, 답변 내용에 대한 추가 설명이 필요한 경우 부산진구보건소 의약관리계 정진산(☎051-605-6072)으로 문의하여 주시기 바랍니다. 끝."
부산진역 7번출구 입구 비가림막지붕 설치 부탁드려요.,2023-07-24,이송이첩,"※ 연계처리내역 : 민원상세보기(원본)
 * 추천기관 : 부산교통공사
 * 이송(추천)사유 : 해당 민원은 귀 기관에서 처리할 사항으로 판단되어 민원처리에 관한 법률 제16조에 따라 이송합니다.


[담당자:권성미, 연락처:051-605-4294]
 * 처리상태 : 이송이첩

※ 아래 답변이 안보일 경우 위의 민원상세보기(원본)을 클릭하여 확인해 주시기 바랍니다.
  - 연계된 기관에서 처리한 내용으로 궁금하신 사항은 해당 기관으로 문의해야 합니다.","부산진역 7번출구 바로옆 차도에 비가오면 물웅덩이가 생깁니다.
그럼 도로에 지나가는 차들이 쌩쌩달리다 보니 웅덩이에 물이 소스란히
지하철을 타로가는 혹은 지하철 출구를 나는 시민들이 뒤집어 씁니다.
그냥 조금 뒤는거면 이해하지만 무슨 워터파크에서 물뒤집었는 수준이니..
출.퇴근하는 시민이 왜 이런 고통을 받아야하는걸까요?
물이 빠지는 맨홀은 웅덩이에서 멀리 떨어져있어서 물이 저절로 빠질수도 없습니다.
물이 빠지는 맨홀을 설치하던지 지하철 입구에 가림지붕을 설치를 하던지 조치부탁드립니다.",없음
부전도서관 언제까지 방치하실건가요?,2023-07-24,답변완료,복지교육국 교육체육과,"부전도서관이 문닫은지 벌써 1년이 다 되어갑니다. 도서관 개관을 손꼽아 기다리는 일인으로써, 계속 기다리라는 답변은 너무 무책임한건 아닌지 화가 나네요. 도대체 부산시청, 부산진구청, 부산시교육청은 뭐하나요? 모두 다른 기관 탓만하면서 시간 보내는동안, 정작 피해보는건 시민들 아닌가요??
그래도 시에서 하는 일이니까 사정이 있겠지 하면서 기다렸는데, 1년이 지나도록 대안조차 없는건 너무한거 아니예요?
몇번 전화하는 동안, 바로 앞에 있는 놀이마루에 옮긴다는 얘기도 들었었는데 그것마저도 깜깜 무소식이네요.
뭐 하루아침에 삐까뻔쩍한 건물을 지어달라는 것도 아니예요. 그냥 책좀 보고 공부할수 있게끔 해달라는건데, 얼마나 대단한 계획을 하시길래 차일피일 미루시는건지 모르겠습니다.
얼마전 도서관에 전화하니, 9월까지 무슨 용역기간이라 또 기다리라는 답변만 받았는데, 해결방안이 없으면 대안이라도 제시해주세요.
이거 기본아닙니까..","○ 안녕하십니까?
귀하께서 건의하신“부전도서관 재개관 및 대체방안 요청”에 대하여 답변을 드리고자 합니다.

○ 2022.8월 안전진단 E등급(폐관) 결과이후 건물관리주체인 부산시에서 부전도서관 개발방향을 확정하기 위해
2023.11월까지“공공개발 기본구상 용역”을 추진중에 있습니다.

○ 임시 부전도서관 운영을 위해 시에서 대체부지(놀이마루 등)를 검토하였으나 교육청 신축계획에 따라 어려운
점이 있으며, 지역내 활용할 수 있는 부지가 없는 실정입니다.

○ 다소 불편하시더라도 부산시 시민도서관 등을 이용해 주시길 부탁드리며, 빠른시일내에 개관이 될 수 있도록
관리기관인 부산시청 관련부서에 전달토록 하겠습니다.

○ 귀하의 질문에 만족스러운 답변이 되었기를 바라며, 답변 내용에 대한 추가설명이 필요한 경우 부산진구청
교육체육과 이종광 주무관(☎051-605-6272)에게 연락주시면 친절히 안내해 드리도록 하겠습니다.
감사합니다. 끝."
부산백병원 후문 배수구 트렌치 안전사고 위험,2023-07-21,답변완료,안전교통국 도로관리과,"부산백병원 후문 앞 경사로에 철제로 된 배수구 트렌치가 있습니다.
맑은 날은 상관없지만 비가 오면 물기로 인해 철제 트렌치에서 수많은 사람들이 미끄러지는 사고를 목격합니다.
해당 장소는 병원 후문 앞이라 환자,보호자,병원직원, 약국손님 등 통행이 많은 구역입니다.
아마 미끄러지는 사고를 예방하기 위해 철근을 용접하여 붙여놨던거 같은데 현재는 일부만 남아있는 상태입니다.
경사진 장소라서 물기가 있을때 트렌치를 밟게 되면 큰 사고로 연결될 수도 있을거 같습니다

※ 첨부파일 :
KakaoTalk_20230721_084051005_01.jpg
KakaoTalk_20230721_084051005_02.jpg
KakaoTalk_20230721_084051005.jpg","○ 구민과 소통하는 부산의 중심, 도약하는 부산진구입니다.
○ 먼저, 도로의 노면 상태로 인하여 생활의 불편을 야기한 상황에 대해 양해의 말씀을 드립니다.
○ 귀하께서 정비 요청하신 민원사항에 대하여 정비완료하였음을 알려드립니다.
○ 우리 구 도로보수 관리업무에 관심을 가져 주신 점 감사드리며, 기타 도로관련 불편사항이
있으시면 부산진구청 도로관리과 장지은(☎051-605-4732)으로 연락하여 주시기 바랍니다.
감사합니다."
백병원 후문 통행로 트랜치 미끄러움,2023-07-21,답변완료,안전교통국 도로관리과,"백병원 후문쪽 보행 중 트랜치 위로 넘어질뻔 했어요
조치가 필요 한 거 같아요

※ 첨부파일 :
현장 사진.jpg","○ 구민과 소통하는 부산의 중심, 도약하는 부산진구입니다.
○ 먼저, 도로의 노면 상태로 인하여 생활의 불편을 야기한 상황에 대해 양해의 말씀을 드립니다.
○ 귀하께서 정비 요청하신 민원사항에 대하여 정비완료하였음을 알려드립니다.
○ 우리 구 도로보수 관리업무에 관심을 가져 주신 점 감사드리며, 기타 도로관련 불편사항이
있으시면 부산진구청 도로관리과 장지은(☎051-605-4732)으로 연락하여 주시기 바랍니다.
감사합니다."
부산시민공원 불법주정차신고(남4문),2023-07-21,답변완료,안전교통국 주차관리과,"부산시민공원 불법주정차 신고합니다.
야외주차장에 주차하고 나왔는데 바로 맞은편에 줄지어 있는 불법주정차 차량들,,,
주차장에 주차하는 사람이 바보인건가요?

단속 푯말은 있던데 전혀~
1시간 지나니까 차가 더 많이 주차되어있던데
여긴 단속 안하는 곳인가요? 저녁에는 눈치껏 되면 상관없는 곳인가요?

주차장에 주차하고 길에 그냥 주차되어있는 차들 보니 너무 황당하네요 주차비 그거 얼마한다고

저녁에는 눈치껏 주차해도 괜찮은 곳인지 아니면 저녁에도 단속을 하는 곳인지 답변 부탁드립니다.
답변 받고 행정처리 진행되었는지 방문해보겠습니다.

※ 첨부파일 :
불법주정차CCTV 단속중 푯말.jpg
부산시민공원 불법주정차지역.jpg","1. 귀하께서 신청하신 민원에 대하여 다음과 같이 답변드립니다.

2. 귀하의 민원사항은 “부산시민공원 불법주정차 단속”에 관한 것으로 판단됩니다.

3. 먼저, 불법주정차로 불편을 드려 죄송합니다. 시민공원 남4문 인근은 고정형CCTV로 07:00~23:00까지 단속을 하고 있고, 불법주정차된 차량들로 도로 교행이 어려울 시 현장 단속을 통해서도 조치를 하는 지역임을 알려드립니다.

4. 답변 내용에 대한 추가 설명이 필요한 경우 부산진구 주차관리과 정소영 주무관(☎051-605-4564)으로 연락주시면 친절히 안내해 드리도록 하겠습니다. 감사합니다. 끝.."
거제대로 23번길 벽면 낙서 제거및 낙서금지요청,2023-07-21,이송이첩,"※ 연계처리내역 : 민원상세보기(원본)
 * 추천기관 : 경찰청
 * 이송(추천)사유 : 기물파손, 재물 손괴로 경범죄 처벌에 해당하여 해당 민원은 귀 기관에서 처리할 사항으로 판단되어 민원처리에 관한 법률 제16조에 따라 이송합니다.

[담당자:권성미, 연락처:051-605-4294]
 * 처리상태 : 이송이첩

※ 아래 답변이 안보일 경우 위의 민원상세보기(원본)을 클릭하여 확인해 주시기 바랍니다.
  - 연계된 기관에서 처리한 내용으로 궁금하신 사항은 해당 기관으로 문의해야 합니다.","최근 거제대로 23번길 일원의 벽면에 낙서를 하는사람이 있습니다.
도시미관상 흉할 뿐아니라,청소년 교육에도 나쁜영향를 끼친다고 생각합니다.
낙서를 제거해주시고, 더이상 낙서를 하지못하도록 조치하여 주시기 바랍니다.

※ 첨부파일 :
KakaoTalk_20230721_190019449_04.jpg
KakaoTalk_20230721_190019449.jpg
KakaoTalk_20230721_190019449_06.jpg",없음
가야2동 감고개공원 화장실 건의,2023-07-20,답변완료,도시관리국 창조도시과,"아이가 있어서 평소에 가야2동 감고개공원을 자주 이용중입니다. 미끄럼틀도 있고 운동기구라던지 작은도서관도 있어서 남녀노소 많은 주민들이 이용중인데요, 한기지 아쉬운점은 화장실에 보면 세면대에 물비누통은 비치되어 있으나 안에 물비누도 없고, 그렇다고 고체비누도 없이 손세정 할수있는 그 어떤 용품도 없다는 것입니다. 많은 사람들이 시설을 이용하고 책도 만지고 하는데 위생적으로 이용하기 위해선 관리가 쫌 되어야되지 않을까 생각합니다.","새올전자민원창구 민원상담에 접수된 민원사항에 대하여 다음과 같이 답변코자 합니다.

□ 민원내용
○ 가야감고개공원 화장실 손세정 용품 구비 요청

□ 답변내용
○ 구정 발전을 위한 귀하의 관심에 감사드립니다.
○ 귀하께서 건의하신 내용은 “가야감고개공원 화장실 손세정 용품 구비 요청”으로 판단됩니다.
○ 현장 확인 후 조치하였습니다.
○ 기타 문의사항은 창조도시과(☏605-5821)로 연락주시면 성실히 답변 드리겠습니다.

붙임 2023년7월26일-a0-민원상담목록번호3295851부. 끝."
부전초등학교 앞 철도아랫길 환경 개선 요청건,2023-07-20,답변완료,도시관리국 건축과,"부전초등학교 앞 철도아랫길 환경 개선 요청 드립니다. 초등학교 앞에 꿈나무들이 다니는곳인데도 불구하고
현재 환경이 너무 더럽습니다. 부산 엑스포 개최시점이 다가옴에 따라 서면 롯데백화점 면세점 등
외국인의 방문이 많아질것으로 예상되는데 철도아랫길을 보면 무슨 생각을 할까 궁금합니다.
초등학생들의 안전한 귀가 및 부산 관광지로써의 위상 강화를 위하여 LED 라이팅 설치 및 외관 환경 개선을 간곡히
부탁 드립니다.","1. 평소 우리 구정 발전에 관심을 가지고 참여하여 주심에 깊이 감사드립니다.
2. 귀하들께서 접수하신 민원은 굴다리(삼성대가도교) 환경정비 등과 관련한 사항으로
가. 조도 부족 등으로 우범지대 형성, 범죄 발생 우려, 보행환경 위협
나. LED 등 교체, 추가점등 및 야간점등 부재
다. 시설 낙후 및 관리 부실, 굴다리 내 누수 발생
라. 굴다리 내 데크 정비, 적치물 확인, 도로 보수
마. 학생들의 안전통학로 확보 요구
바. 담배꽁초 무단투기, 노상방뇨, 고성방가, 악취발생
사. 금연구역지정, CCTV 설치 요구
아. 관내 굴다리 환경정비 요구
차. 도색, 타일 등의 디자인 변경, 환경개선 예산반영 요구 등에 관한 사항으로 이해됩니다.
3. 귀하들의 민원 사항에 대한 검토 의견은 다음과 같습니다.
가. 굴다리 환경정비 요청과 관련하여 해당 시설물은 국가철도공단의 시설물로, 「건널목 개량촉진법 시행령」제9조(입체교차화 시설물의 관리 등) 규정에 따라 관리주체의 시설물에 대한 유지관리 및 환경개선에 대한 검토가 선행되어야 할 것으로 사료 됩니다.
나. 이에 우리 부서에서는 주민들의 불편 사항을 감안하여 해당 시설물의 정비가능여부 확인과 예산확보 등을 통해 해당 민원이 조속히 해결될 수 있도록 상기 민원 사항을 관련부서 및 기관(국가철도공단, 부산진경찰서, 우리 구 건설과, 교통행정과, 창조도시과, 건축관리과, 도로관리과, 자원순환과, 환경위생과)에 통보하여 검토될 수 있도록 협조 요청하였음을 알려드립니다.
4. 문의하신 내용에 대하여 만족스러운 답변이 되었기를 바라며 기타 궁금하신 사항은 해당기관(부서) 및 부산진구청 건축과(☎605-4604)로 문의하여 주시기 바랍니다. 끝."
진구 중앙대로 907 건물 지하로 하수도 유입,2023-07-20,답변완료,도시관리국 건설과,"부산 진구 중앙대로 907 건물 지하 주차장 내에 벽면을 타고 물이 스며 들고 그 양이 거의 주차장이 비가 오지 않아도 장화를 신어야 할 정도로 고입니다.

건축업자 수리업자 다 불러서 물어도 천장에는 물이 없고, 벽면을 타고 스며드는 것은 건물 바깥의 하수 또는 상수도의 물이 터져서 스며 드는 것이라 합니다.

상수도 공사는 상수도 만 점금 할 뿐이고, 하수도 관련은 시청에 문의하라고 하여 의뢰드립니다.

지하 주차장에는 배수로가 없는 공간으로 지어져 있어 건물 기반의 문제로 이어짐으로 빠른 시일에 조사해 주십시오","우리 구 새올상담민원으로 접수된 민원사항에 대하여 아래와 같이 답변하고자 합니다.

1. 민원개요
가. 민원인: 류○○
나. 접수일: 2023. 7. 20.
다. 위 치: 중앙대로 907(양정동)일원
라. 내 용: 지하실 누수에 따른 하수시설 정비 요청

2. 답변내용
가. 안녕하십니까? 귀하께서 신청하신 상담민원(접수번호:1526593981)에 대한 검토결과를 다음과 같이 알려드립니다.
나. 귀하의 민원내용은 “중앙대로 907일원 지하실 누수에　따른 하수시설 정비 요청”에 관한 사항으로 판단됩니다.
다. 누수 원인 파악을 위해 건물 인근 하수시설을 점검(CCTV 조사 등)중이며, 하수시설에 문제가 있을 경우 정비토록 하겠습니다.
라. 귀하의 질문에 만족스러운 답변이 되었기를 바라며, 답변 내용에 대한 추가 설명이 필요한 경우 부산진구청 건설과(☎605-4681,윤효정)로 문의주시면 친절하게 안내하여 드리겠습니다. 감사합니다.


붙임 상담민원 내용 1부. 끝."
초읍 초등학교 정문 인근 주정차 위반 차량 주기적으로 단속 요청,2023-07-20,답변완료,안전교통국 주차관리과,"바쁜 업무에 노고가 많으십니다.
최근 초읍동 초읍초등학교 정문앞 및 예종유치원 등의 어린이가 많이 다니는 길목에 불법주정차가 점점 심해지고 있습니다.
어린이 통행에 많은 위험이 예상되니 바쁘시겠지만 신속한 조치 부탁드립니다.
첨부한 파일에 빨간색 선을 그어 표시해 두었습니다.

※ 첨부파일 :
부산진구청 주차단속 민원신고.png","1. 귀하께서 신청하신 민원에 대하여 다음과 같이 답변드립니다.

2. 귀하의 요청사항은 “초읍초등학교 주변 불법주정차 단속 요청”에 관한 것으로 판단됩니다.

3. 귀하께서 요청하신 구간은(초읍초등학교 주변 일대) 불법주정차 계도 및 단속을 수시로 실시하여 안전한 보행환경을 조성할 수 있도록 노력하겠습니다.

4. 도로 교행이 어려울 시 주차관리과(☎051-605-4561~7)로 연락주시면 신속한 처리가 가능하며, 답변 내용에 대한 추가 설명이 필요한 경우 부산진구 주차관리과 정소영 주무관(☎051-605-4564)으로 연락주시면 안내해 드리도록 하겠습니다. 감사합니다. 끝."
통장 임기에 대한 재건의,2023-07-19,답변완료,행정지원국 행정자치과,"동일고충민원
동일고충민원여부
동일고충민원여부 : 선행민원번호 : 202306302152409667 선행민원상세조회","1. 안녕하십니까? 귀하께서 신청하신 민원(접수번호 202307191305333702)에 대한 검토 결과를 다음과 같이 알려드립니다.

2. 귀하의 민원내용은 통장 연임 제한 재건의”에 관한 것으로 이해됩니다.

3. 귀하의 민원사항에 대해 검토답변은 다음과 같습니다.
가. 2023. 7. 10. 기 답변드린 바와 같이 통장 위촉에 관한 사항은 동 주민센터의 여건에 따라 운영될 필요가 있어, 통장 위·해촉 및 공개 모집실시 등의 세부 권한을 동장에게 위임하여 지역 상황에 맞게 시행하고 있습니다.
나. 발전적인 방향에 대해 건의하신 귀중한 의견은 향후 업무 추진 시 검토하도록 하겠습니다.

4. 평소 구정 발전에 많은 관심을 가져주셔서 감사드리며, 답변 내용에 대한 추가설명이 필요한 경우 부산진구청 행정자치과(☏051-605-4114)로 연락주시면 친절히 안내해 드리겠습니다. 감사합니다."
개원초등학교 아래 / 백양관문로 77번지 인근 육교 아래 인도 / 학생들의 통학로,2023-07-19,답변완료,도시관리국 건설과,"장마로 인한 물이 빠져 나가야 할 배수구의 길이 막힘. ( 잡초, 떨어져 내린 작은 자갈 및 모래 등... 으로 인해 막힘.)
그로인해 인도로 물이 계속 흘려 내려가고 있고, 미끄럼 사고가 날 확률이 높아 보입니다.
특히 학생들이 다니는 통학로 이므로, 바쁘시더라도 꼭 확인하시고 조치해 주시기 바랍니다.
수고하세요~~

※ 첨부파일 :
KakaoTalk_20230719_194436819_01.jpg
KakaoTalk_20230719_194436819.jpg
KakaoTalk_20230719_195256046.jpg","우리 구 새올상담민원으로 접수된 민원사항에 대하여 다음과 같이 답변하고자 합니다.

1. 민원개요
가. 민원인: ○○
나. 접수일: 2023. 7. 19.
다. 위 치: 당감동 792-19
라. 내 용: 도로 내 배수로 등 정비요청

2. 답변내용
가. 안녕하십니까? 귀하께서 신청하신 상담민원에 대한 검토결과를 다음과 같이 알려드립니다.
나. 당감동 792-19, 개원초등학교 인근 도로의 배수로 등 정비요청에 대하여 현재 조치 완료하였음을 알려드리며,
다. 답변 내용에 대한 추가 설명이 필요한 경우 부산진구청 건설과(☏051-605-4684)로 연락주시면 친절히 안내해드리도록 하겠습니다. 감사합니다.

붙임 2023년7월27일-a0-민원상담목록번호329403. 1부. 끝."
부전초 앞 굴다리 환경을 개선해 주세요,2023-07-18,답변완료,도시관리국 건축과,"저녘 부전초 앞 굴다리를 지나게 되었는데 취객과 노상방뇨하는 사람들을 많이 마주하게 되었습니다.
지나가는 사람들 중에는 악취에 코를 막고 지나 가는 사람들도 보였고,
특히나 초등학교 앞이라 엄마와 아이들의 왕래가 잦은 곳인데
오후가 되면 어두컴컴하고 취객들이 많이 거닐어 아이들이 편안하게 지나가는 것 조차 힘들어 보였습니다.
서면은 부산의 큰 중심지인데,
동시에 우범지역이라는 타이틀을 만들게 하는 위험한 굴다리 환경은 굴다리 안심 환경개선 공사를 통해 꼭 개선 되어야 한다고 봅니다.

밝고 환한 환경으로 개선하여 각종 범죄로부터 꼭 예방할수 있도록 꼭 검토 부탁드립니다.","1. 평소 우리 구정 발전에 관심을 가지고 참여하여 주심에 깊이 감사드립니다.
2. 귀하들께서 접수하신 민원은 굴다리(삼성대가도교) 환경정비 등과 관련한 사항으로
가. 조도 부족 등으로 우범지대 형성, 범죄 발생 우려, 보행환경 위협
나. LED 등 교체, 추가점등 및 야간점등 부재
다. 시설 낙후 및 관리 부실, 굴다리 내 누수 발생
라. 굴다리 내 데크 정비, 적치물 확인, 도로 보수
마. 학생들의 안전통학로 확보 요구
바. 담배꽁초 무단투기, 노상방뇨, 고성방가, 악취발생
사. 금연구역지정, CCTV 설치 요구
아. 관내 굴다리 환경정비 요구
차. 도색, 타일 등의 디자인 변경, 환경개선 예산반영 요구 등에 관한 사항으로 이해됩니다.
3. 귀하들의 민원 사항에 대한 검토 의견은 다음과 같습니다.
가. 굴다리 환경정비 요청과 관련하여 해당 시설물은 국가철도공단의 시설물로, 「건널목 개량촉진법 시행령」제9조(입체교차화 시설물의 관리 등) 규정에 따라 관리주체의 시설물에 대한 유지관리 및 환경개선에 대한 검토가 선행되어야 할 것으로 사료 됩니다.
나. 이에 우리 부서에서는 주민들의 불편 사항을 감안하여 해당 시설물의 정비가능여부 확인과 예산확보 등을 통해 해당 민원이 조속히 해결될 수 있도록 상기 민원 사항을 관련부서 및 기관(국가철도공단, 부산진경찰서, 우리 구 건설과, 교통행정과, 창조도시과, 건축관리과, 도로관리과, 자원순환과, 환경위생과)에 통보하여 검토될 수 있도록 협조 요청하였음을 알려드립니다.
4. 문의하신 내용에 대하여 만족스러운 답변이 되었기를 바라며 기타 궁금하신 사항은 해당기관(부서) 및 부산진구청 건축과(☎605-4604)로 문의하여 주시기 바랍니다. 끝."
동평로 420번길 도로 환경 개선 요청합니다.,2023-07-18,답변완료,도시관리국 건설과,"배수로 공사한다고 도로 정리를 할 예정이라는데 아직 예산도 안나와서 언제 공사가 들어갈지 의문입니다.
관할구청에서는 예산측정 후 업체 선정도 아직 못한 상태라고 하는데요 주변에 돌파편이라던가 평탄화가 안되어서 주변사람들이 걸어다닐까 불편을 호소 합니다. 신속하게 포장 정리 해주셨으면 좋겠네요.

사진첨부합니다. 주변에 자갈과 평탄화가 아니되어있어 상당히 불편합니다.

※ 첨부파일 :
KakaoTalk_20230718_130330226_01.jpg
KakaoTalk_20230718_130330226.jpg","우리 구 새올상담민원으로 접수된 민원사항에 대하여 아래와 같이 답변하고자 합니다.

1. 민원개요
가. 민원인: 황준원
나. 접수일: 2023. 7. 18.
다. 위 치: 양정동 370-24번지 일원
라. 내 용: 하수시설 정비 요청

2. 답변내용
가. 안녕하십니까? 귀하께서 신청하신 상담민원(접수번호:1304583508) 검토결과를 다음과 같이 알려드립니다.
나. 귀하의 민원내용은 “양정동 317-9번지 일원 하수시설 정비요청”에 관한 사항으로 판단됩니다.
다. 해당 구간 현장 확인 하였으며, 현재 양정시장 일대 노후 하수시설 정비 계획에 해당구간이 포함되어 있어, 계획에 따라 정비 예정임을 알려드립니다.
라. 귀하의 질문에 만족스러운 답변이 되었기를 바라며, 답변 내용에 대한 추가 설명이 필요한 경우 부산진구청 건설과(☎605-4681,윤효정)로 문의주시면 친절하게 안내하여 드리겠습니다. 감사합니다.


붙임 1. 상담민원 내용 1부.
2. 위치도 및 현장사진 1부. 끝."
초읍동 한신아파트 옆 공사장피해조치 요청,2023-07-18,답변완료,도시관리국 건축과,"초읍동 한신아파트 옆 공사장 피해조치 요청
초읍동376-81번지,6번지 법인 소유 땅인거 같은데요
현재 담당 지자체에서는 땅 소유자 한테 지금 이 상황이 얼마나 위험한지를 소유자 한테
전달하고 안전위험에 대한 시정조치 하셨는지 문의 드립니다.
답변기다리겠습니다.
수고하세요.","1. 귀하께서 우리 구 제기하신 민원에 대한 검토결과를 다음과 같이 알려드립니다.
2. 귀하의 민원내용은 초읍동 장기방치공사장의 안전사고 우려에 대한 소유주에 시정조치 여부를 문의하시는 민원으로 이해되며, 우리 구 답변 내용은 아래와 같습니다.

가. 초읍동 376-6번지 장기 방치 건축공사장에 대하여「건축법」제13조 규정에 의거 수차례 공사재개 등 조치 명령하였으나, 현재까지 이행되고 있지 않고 있으며,
나. 이번 집중호우 대비 안전조치 명령과 토사유출에 따른 안전사고 방지를 위한 행정대집행 실시 공문도 발송하였음을 알려드립니다.
다. 우리 구에서도 주민의 안전을 위하여 신속한 조치를 이행 중에 있으며, 이로 인한 불편을 느끼시는 부분에 대하여 건축주를 대신하여 양해 말씀드립니다.
3. 기타 궁금한 사항이 있으실 경우 우리 구 건축과(☎051-605-4592, 감성근)로 문의하시면 성심껏 답변 드리겠습니다. 끝."
도로가 지징물 설치로 인한 교통사고 우려5,2023-07-17,답변완료,안전교통국 도로관리과,"동일고충민원
동일고충민원여부
동일고충민원여부 : 선행민원번호 : 202306021608114100 선행민원상세조회","○ 구민과 소통하는 부산의 중심, 도약하는 부산진구입니다.
○ 먼저, 노상적치물로 인해 귀하께 생활 불편을 야기한 상황에 대하여 양해의 말씀을 드립니다.
○ 귀하께서 제기하신 해당 지역 노상적치물과 관련한 민원사항에 대하여 7월20일 및 24일 현장 확인하여 계도조치 및 자진정비 완료(전봇대 뒤 보행통로 확보)하였음을 알려드립니다.
○ 이 밖에 궁금하신 사항은 부산진구 도로관리과 임경순주무관(☎605-4714)에게 연락주시면 친절하고 성실히 답변드리겠습니다. 감사합니다.

※ 첨부파일 :
정비후(중앙대로691번가길 23).jpg"
국악로 28번길 방치된 깨진 축대 관련.,2023-07-15,답변완료,도시관리국 건축관리과,"안녕하십니까. 다름이 아니라 국악로 28번길에 있는 축대 관련해서 신속한 벽 정비를 부탁드리기 위해 민원을 신청드립니다.
연지동사무소 길로 올라와 왼쪽으로 올라오면 방치된 축대가 하나있습니다.
이미 금이 가있고 깨진 조각들이 위에 그대로 있으며, 초반에 제대로 조치를 취하지 않은 것 인지
덕지덕지 발라진 시멘트가 미관상 정말 좋지않습니다.
그리고 아래에 접근금지 드럼통들 근처로 쓰레기를 무단투기하는 사람들도 있어 더 골목이 난잡하구요..
요즘 장마와 돌풍 등으로 이 벽의 파편들이 땅에 떨어져있었습니다. 정말 위험하다고 생각합니다.
국악로 28번길로 이곳에 어르신 분들이 많이 사십니다.. 이렇게 방치해둬선 안된다고 생각합니다.
이 축대에 빠른 정비 부탁드립니다. 감사합니다.

※ 첨부파일 :
벽상황.jpg
위치.jpg
접근금지 물탱크3개.jpg","1. 건전하고 투명한 관리 문화 정착을 위해 노력하는 부산진구입니다.

2. 귀하의 민원사항에 대해 다음과 같이 답변을 드립니다.
가. 「건축물관리법」제4조(관리자 등의 의무), 제12조(건축물의 유지·관리)에 따라 관리자가 건축물의 기능을 보전·향상시키고 이용자의 편의 등을 높이기 위하여 노력하여야 하며, 건축물을 건축법에 적합(구조내력, 대지의 안전 포함)하도록 유지·관리하여야 함을 규정하고 있습니다.

나. 이에, 관련 규정에 따라 소유자(관리자)에게 조치하도록 행정지도 함을 알려드립니다.

4. 기타 문의사항은 건축관리과(☎051-605-8604)로 연락해 주시기 바랍니다. 끝."
특전공사 관련 내용,2023-07-14,답변완료,문화경제국 환경위생과,"수고하십니다 본인은 동문 굿모닝힐 관리소장입니다

현재 당 아파트 주위에 대우 건설 과 중아건설에서 공사를 시행중입니다

따라서 당아파트에 소음과 분진이 너무 심하여 입주민들은 상당한 고충을 겪고있는 상황입니다

그래서 대우건설(주) 푸르지오 건설현장과 중아건서 아파트 건설 현장의

특전공사 자료를 받고 싶어서 민원을 신청하니 바쁘시더라도 자료를 받아볼수있도록 협조바랍니다","1. 환경보전을 위한 귀하의 관심과 노력에 감사드립니다.
2. 귀하의 민원내용은 대우건설과 중아건설의 특정공사 신고필증 자료 제공 요청으로 이해됩니다.
유선상으로 안내한 것과 같이 본 시스템으로는 자료 제공이 불가하오니 정보공개포털(www.open.go.kr)에서 필요하신 자료를 요청하여 주시면 검토후 제공 가능함을 알려드립니다.
3. 귀하의 요청에 만족스러운 답변이 되었기를 바라며, 답변 내용에 대한 추가 설명이 필요하거나 궁금하신 점이 있으신 경우 부산진구 환경위생과(김형태 주무관 ☎051-605-4394)로 연락주시면 성실히 답변 드리겠습니다. 감사합니다. 끝."
